Subject,Session,Folder,File
sub-CM21823,ses-202403141,func,sub-CM21823_ses-202403141_task-rest_dir-AP_run-1_bold
sub-CM21823,ses-202403141,func,sub-CM21823_ses-202403141_task-rest_dir-AP_run-2_bold
sub-CM21823,ses-202403141,func,sub-CM21823_ses-202403141_task-rest_dir-PA_run-1_bold
sub-CM21823,ses-202403141,func,sub-CM21823_ses-202403141_task-rest_dir-PA_run-2_bold
sub-CM27538,ses-202404181,anat,sub-CM27538_ses-202404181_rec-norm_run-1_T1w
sub-CM27538,ses-202404181,anat,sub-CM27538_ses-202404181_rec-norm_run-1_T2w
sub-CM27538,ses-202404181,func,sub-CM27538_ses-202404181_task-rest_dir-AP_run-1_bold
sub-CM27538,ses-202404181,func,sub-CM27538_ses-202404181_task-rest_dir-AP_run-2_bold
sub-CM27538,ses-202404181,func,sub-CM27538_ses-202404181_task-rest_dir-PA_run-1_bold
sub-CM27538,ses-202404181,func,sub-CM27538_ses-202404181_task-rest_dir-PA_run-2_bold
sub-CM27811,ses-202405081,anat,sub-CM27811_ses-202405081_rec-norm_run-1_T1w
sub-CM27811,ses-202405081,anat,sub-CM27811_ses-202405081_rec-norm_run-2_T2w
sub-CM27811,ses-202405081,func,sub-CM27811_ses-202405081_task-rest_dir-AP_run-1_bold
sub-CM27811,ses-202405081,func,sub-CM27811_ses-202405081_task-rest_dir-AP_run-2_bold
sub-CM27811,ses-202405081,func,sub-CM27811_ses-202405081_task-rest_dir-PA_run-1_bold
sub-CM27811,ses-202405081,func,sub-CM27811_ses-202405081_task-rest_dir-PA_run-2_bold
sub-CM29370,ses-202404121,anat,sub-CM29370_ses-202404121_rec-norm_run-1_T1w
sub-CM29370,ses-202404121,anat,sub-CM29370_ses-202404121_rec-norm_run-1_T2w
sub-CM29370,ses-202404121,func,sub-CM29370_ses-202404121_task-rest_dir-AP_run-1_bold
sub-CM29370,ses-202404121,func,sub-CM29370_ses-202404121_task-rest_dir-AP_run-2_bold
sub-CM29370,ses-202404121,func,sub-CM29370_ses-202404121_task-rest_dir-PA_run-1_bold
sub-CM29370,ses-202404121,func,sub-CM29370_ses-202404121_task-rest_dir-PA_run-2_bold
sub-CP06651,ses-202405021,anat,sub-CP06651_ses-202405021_run-1_T1w
sub-CP06651,ses-202405021,anat,sub-CP06651_ses-202405021_run-1_T2w
sub-CP06651,ses-202405021,func,sub-CP06651_ses-202405021_task-rest_dir-AP_run-1_bold
sub-CP06651,ses-202405021,func,sub-CP06651_ses-202405021_task-rest_dir-AP_run-2_bold
sub-CP06651,ses-202405021,func,sub-CP06651_ses-202405021_task-rest_dir-PA_run-1_bold
sub-CP06651,ses-202405021,func,sub-CP06651_ses-202405021_task-rest_dir-PA_run-2_bold
sub-CP17925,ses-202405301,anat,sub-CP17925_ses-202405301_run-1_T1w
sub-CP17925,ses-202405301,anat,sub-CP17925_ses-202405301_run-1_T2w
sub-CP17925,ses-202405301,func,sub-CP17925_ses-202405301_task-rest_dir-AP_run-1_bold
sub-CP17925,ses-202405301,func,sub-CP17925_ses-202405301_task-rest_dir-AP_run-2_bold
sub-CP17925,ses-202405301,func,sub-CP17925_ses-202405301_task-rest_dir-PA_run-1_bold
sub-CP17925,ses-202405301,func,sub-CP17925_ses-202405301_task-rest_dir-PA_run-2_bold
sub-CP21568,ses-202406061,anat,sub-CP21568_ses-202406061_run-1_T1w
sub-CP21568,ses-202406061,anat,sub-CP21568_ses-202406061_run-1_T2w
sub-CP21568,ses-202406061,func,sub-CP21568_ses-202406061_task-rest_dir-AP_run-1_bold
sub-CP21568,ses-202406061,func,sub-CP21568_ses-202406061_task-rest_dir-AP_run-2_bold
sub-CP21568,ses-202406061,func,sub-CP21568_ses-202406061_task-rest_dir-PA_run-1_bold
sub-CP21568,ses-202406061,func,sub-CP21568_ses-202406061_task-rest_dir-PA_run-2_bold
sub-CP28172,ses-202309151,func,sub-CP28172_ses-202309151_task-rest_dir-AP_run-2_bold
sub-CP28172,ses-202309151,func,sub-CP28172_ses-202309151_task-rest_dir-PA_run-2_bold
sub-CP33719,ses-202406271,anat,sub-CP33719_ses-202406271_run-1_T1w
sub-CP33719,ses-202406271,anat,sub-CP33719_ses-202406271_run-1_T2w
sub-CP33719,ses-202406271,func,sub-CP33719_ses-202406271_task-rest_dir-AP_run-1_bold
sub-CP33719,ses-202406271,func,sub-CP33719_ses-202406271_task-rest_dir-AP_run-2_bold
sub-CP33719,ses-202406271,func,sub-CP33719_ses-202406271_task-rest_dir-PA_run-1_bold
sub-CP33719,ses-202406271,func,sub-CP33719_ses-202406271_task-rest_dir-PA_run-2_bold
sub-CP65350,ses-NoneNone,anat,sub-CP65350_ses-NoneNone_run-1_T1w
sub-CP65350,ses-NoneNone,anat,sub-CP65350_ses-NoneNone_run-1_T2w
sub-CP65350,ses-NoneNone,func,sub-CP65350_ses-NoneNone_task-rest_dir-AP_run-1_bold
sub-CP65350,ses-NoneNone,func,sub-CP65350_ses-NoneNone_task-rest_dir-AP_run-2_bold
sub-CP65350,ses-NoneNone,func,sub-CP65350_ses-NoneNone_task-rest_dir-PA_run-1_bold
sub-CP65350,ses-NoneNone,func,sub-CP65350_ses-NoneNone_task-rest_dir-PA_run-2_bold
sub-CP85340,ses-202405231,anat,sub-CP85340_ses-202405231_run-1_T1w
sub-CP85340,ses-202405231,anat,sub-CP85340_ses-202405231_run-1_T2w
sub-CP85340,ses-202405231,func,sub-CP85340_ses-202405231_task-rest_dir-AP_run-1_bold
